TIMESTAMP             | TID   | EVENT | SIZE (KB) | CURRENT TID RSS (KB) | PFN | REQ_ID_PARAM
05:28:37.695693 | 200655 | ALLOC |      4.00 |                12.00 | 3733881 |                N/A
05:28:37.695706 | 200655 | ALLOC |      4.00 |                16.00 | 3733882 |                N/A
05:28:37.695732 | 200655 | ALLOC |      4.00 |                20.00 | 3733883 |                N/A
05:28:37.695735 | 200655 | ALLOC |      4.00 |                24.00 | 3733884 |                N/A
05:28:37.695745 | 200655 | ALLOC |      4.00 |                28.00 | 3733885 |                N/A
05:28:37.695967 | 200655 | ALLOC |     32.00 |                60.00 | 3559288 |                N/A
05:28:37.696232 | 200638 | ALLOC |      4.00 |                24.00 | 3733886 | 886041221535080576
05:28:37.696258 | 200638 | ALLOC |      4.00 |                28.00 | 3733887 | 886041221535080576
05:28:37.696273 | 200638 | ALLOC |      4.00 |                32.00 | 3290656 | 886041221535080576
05:28:37.696294 | 200638 | ALLOC |      4.00 |                36.00 | 2040476 | 886041221535080576
05:28:37.696299 | 200638 | ALLOC |      4.00 |                40.00 | 3290657 | 886041221535080576
05:28:37.696318 | 200638 | ALLOC |      4.00 |                44.00 | 3290658 | 886041221535080576
05:28:37.696582 | 200673 | ALLOC |      4.00 |                 4.00 | 3574003 | 710051034486130816,419530427290733440,764886907736861184,232095291636170656,886041221535080576,636835206775895168,391200338986263424,546881539092688000,241083423082069984
05:28:37.696585 | 200673 | ALLOC |      4.00 |                 8.00 | 3574432 | 710051034486130816,419530427290733440,764886907736861184,232095291636170656,886041221535080576,636835206775895168,391200338986263424,546881539092688000,241083423082069984
05:28:37.696589 | 200673 | ALLOC |      4.00 |                12.00 | 3290659 | 710051034486130816,419530427290733440,764886907736861184,232095291636170656,886041221535080576,636835206775895168,391200338986263424,546881539092688000,241083423082069984
05:28:37.696606 | 200673 | ALLOC |      4.00 |                16.00 | 3290660 | 710051034486130816,419530427290733440,764886907736861184,232095291636170656,886041221535080576,636835206775895168,391200338986263424,546881539092688000,241083423082069984
05:28:37.696617 | 200673 | ALLOC |      4.00 |                20.00 | 3290661 | 710051034486130816,419530427290733440,764886907736861184,232095291636170656,886041221535080576,636835206775895168,391200338986263424,546881539092688000,241083423082069984
05:28:37.696632 | 200673 | ALLOC |     32.00 |                52.00 | 3556656 | 710051034486130816,419530427290733440,764886907736861184,232095291636170656,886041221535080576,636835206775895168,391200338986263424,546881539092688000,241083423082069984
05:28:37.696773 | 200633 | FREE  |     32.00 |                 0.00 | 3618664 |                N/A
05:28:37.696868 | 200684 | ALLOC |      4.00 |                 4.00 | 3574433 | 653174923090909184,644551850738674432,764886907736861184,273078355749895200,886041221535080576,364767072889433600,241083423082069984
